
Time Dependent Production (Energy Units) Test

,REG1
Fuel,Timeslice,2023
EL01,965,11.8622
EL01,966,11.8622
EL01,967,11.8622
EL01,968,11.8622
EL01,969,11.8622
EL01,970,11.8622
EL01,971,11.8622
EL01,972,11.8622
EL01,973,11.8622
EL01,974,11.8622
EL01,975,11.8622
EL01,976,11.8622
EL01,977,11.8622
EL01,978,11.8622
EL01,979,11.8622
EL01,980,11.8622
EL01,981,11.8622
EL01,982,11.8622
EL01,983,11.8622
EL01,984,11.8622
EL01,985,11.8622
EL01,986,11.8622
EL01,987,11.8622
EL01,988,11.8622
EL01,989,11.8622
EL01,990,11.8622
EL01,991,11.8622
EL01,992,11.8622
EL01,993,11.8622
EL01,994,11.8622
EL01,995,11.8622
EL01,996,11.8622
EL01,997,11.8622
EL01,998,11.8622
EL01,999,11.8622
EL01,1000,11.8622
EL01,1001,11.8622
EL01,1002,11.8622
EL01,1003,11.8622
EL01,1004,11.8622
EL01,1005,11.8622
EL01,1006,11.8622
EL01,1007,11.8622
EL01,1008,11.8622
